A.1	S obzirom na to da se radi o raznoj vrijednosti, ne može se utvrditi da je to vrijednost koja se može utvrditi u skladu s člankom 6.4.	Ja sam udoban kad me pitaju da izračunati raspon racionalne funkcije, ali kako učiniti obrnuto?	functions
A.328	Dokaz $\sum_{k=1}^{n}\cos\frac{2\pi k}{n}=0$	$$\sum_{ k=1 }^{ n  } \cos\left(\frac{  2 \pi k }{  n  } \right) =0, \qquad n>1 $$ Prvo sam pokušao provjeriti jednadžbu malim vrijednostima $n$ $$  \text{As } n=2 $$ $$  \cos\left(\frac{  2 \pi \cdot 1   }{  2  } \right) + \cos\left(\frac{  2 \pi \cdot 2   }{  2   } \right)  $$ $$ = \cos\left(\pi\right)  + \cos\left(2 \pi\right)    $$ $$ = -1+ 1 =0  ~~ \leftarrow~~ \text{Obvious}  $$ Ali $$  \text{As}~~ n=3  $$ $$  \cos\left(\frac{  2 \pi \cdot  1   }{  3   } \right) +\cos\left(\frac{  2 \pi  \cdot  2   }{  3   } \right) + \cos\left(\frac{  2 \pi  \cdot  3   }{  3   } \right)  $$ $$ = \cos\left(\frac{  2 \pi  }{  3  } \right) + \cos\left(\frac{  4 \pi  }{  3  } \right) + \cos\left( 2\pi \right)  $$ $$\sum_{ k=1 }^{ n  } \cos\left(\frac{  2 \pi k }{  n  } \right) =0, \qquad n>1 $$0 Koji se formula ili svojstva mogu koristiti za dokaz jednadžbe?	sequences-and-series,trigonometry,trigonometric-series
A.329	Kako da pokažem da ako je $A$ kompaktan a $U \supseteq A$ otvoren, onda postoji otvoren $V$ s $A \subseteq V \subseteq \overline{V} \subseteq U$?	Ovaj je pitanje iz Wayne Patty Topologije Odjeljak 5.2. Mislite $A$ biti kompaktni podskuplje redovnog prostora i neka $U$ biti otvoreni skup takav $A\subseteq U$. Ispostavite da postoji otvoreni skup $V$ takav $A \subseteq  V \subseteq \overline{V} \subseteq U$. Neka $p \in A$ koji podrazumijeva $p \in U$. Zatim je rezultat u knjizi (Teorema 5.11): $T_1$-prostor $(X, \mathcal T)$ je redoviti ako i samo ako za svaki član $A$0 $A$1 i svaki susjed $U$ $A$0, postoji susjed $V$ $A$0 takav $A$2. Dakle, dobio sam $A$3. Ali nisam u stanju dokazati da $A$4. Mislio sam da bih trebao pustiti $A$5 ali nisam u mogućnosti pronaći kontradikciju. Možete li pomoći s tim?	general-topology,separation-axioms
A.330	Shilovova linearna algebra - poglavlje 1, Problem 9	Računajte $n$-te odrednice reda: $$\Delta= \begin{vmatrix} x&a&a&\ldots&a\\ a&x&a&\ldots&a\\ a&a&x&\ldots&a\\ \cdot&\cdot&\cdot&\ldots&\cdot\\ a&a&a&\ldots&x \end{vmatrix}$$ Odgovor je $\Delta=[x+a(n-1)](x-a)^{n-1}$. Ako dodamo sve ostale stupce u prvi stup, dobivamo prvi množački faktor odgovora, a ostalo nam je sljedeći odrednik: $$\begin{vmatrix} 1&a&a&\ldots&a\\ 1&x&a&\ldots&a\\ 1&a&x&\ldots&a\\ \cdot&\cdot&\cdot&\ldots&\cdot\\ 1&a&a&\ldots&x \end{vmatrix}$$ Kako možemo izračunati ovaj odrednik kako bismo dobili odgovor?	linear-algebra,determinant
A.331	Rječi $4^x+6^x=9^x$ ručno pronalaženje	$f(x)=4^x+6^x-9^x$ je funkcija koja je takva da $f(0)=1>0, f(1)=1>0, f(2)=-29$ i sljedeći $g(x)=(4/9)^x+(6/9)^x-1 \implies f'(x)<0$ za sve stvarne vrijednosti $x$. Dakle, $g(x)$ je monotonna jednačina $$4^x+6^x=9^x$$ ima točno jedno stvarno rješenje.	real-analysis
A.332	Svaki broj može se izraziti kao proizvod (najmanji primni faktor) *(najveći cijeli broj dijeli n manje od n) [EDITED]	Neka $L:{\Bbb N} \to {\Bbb N}$ tako da $L(n) = {\text{least prime factor p of n}}$. Neka $g:{\Bbb N} \to {\Bbb N}$ tako da $g(n) = {\text{biggest positive integer d such that d|n and 1}} \leqslant {\text{d < n}}$. Pokaži da:$$g(n) = \frac{n}{{L(n)}},\forall n \in {\Bbb N}{\text{ such that }}n \geqslant 2$$ Moj dokaz: Budući da $n \geqslant 2$, $n$ je ili sastavljen ili prvo. Ako $n$ je prvo, odnosno $n = p$ gdje $p$ je prvo), onda $L:{\Bbb N} \to {\Bbb N}$0 To je zato što je $L:{\Bbb N} \to {\Bbb N}$1 definiran kao najmanje prvo čimbenik n. Ako $L:{\Bbb N} \to {\Bbb N}$2 je sastavljen, po temeljnom teoremu aritmetice: "Svaki pozitivan cijeli broj veći od 1 može se izraziti kao proizvod prvočunova". Neka je $p$ najmanji prvočun iz proizvoda $L:{\Bbb N} \to {\Bbb N}$3 To jest, odaberite $L:{\Bbb N} \to {\Bbb N}$4.	elementary-number-theory
A.333	Bivalentna normalna gustoća	$( X, Y)$ ima bivarijalnu normalnu gustoću središtu na izvoru s $E(X^2)$ = $E(Y^2) = 1$ i $E(XY) = p$ . U polarnim koordinatama $(X, Y)$ postaje $(R,\Phi)$ gdje $R^2 = X^2 + Y^2$. dokazati da $\Phi$ ima gustoću koju daje $$\frac{\sqrt{1-p^2}}{2\pi(1-2p\sin(\varphi)\cos(\varphi))}$$ I je jednako raspoređen IF $( X, Y)$0. (Do sada je sve jasno) ono što ne razumijem je kako zaključiti da $( X, Y)$1 i $( X, Y)$2.	probability,probability-theory,probability-distributions
A.334	logaritmski dokaz za $a^{log_a(b)}=b$	Pokušao sam dokazati za $a^{log_a(b)}=b$, ali osjećam da je pogrešno, tako da kako mogu dokazati ovo?	logarithms
A.335	Eksponencijalna matrica konvergira u matricu	$$ \lim_{N \rightarrow \infty} \sum_{k=0}^{N}\frac{A^k}{k!} =X  $$ U nekim dokazima koje sam vidio navodi se da je zato što (za sub-multiplikativnu norm) $$ 0 \le  \sum_{k=0}^{\infty} \left\Vert  \frac{A^k }{k!} \right\Vert  \le  \sum_{k=0}^{N} \frac{\Vert A \Vert ^k }{k!} then the series $\sum_{k=0}^N}\frac{A^k}{k!}$ has to be convergent. That however isn't clear to me. To me more intuitive way to show convergence would be to show that $$ \lim_{N \rightarrow \infty} \left\Vert \sum_{k=0}^N} \frac{A^k}{k!} -X \right\Vert =0$$ and use some intuitive matrix norm for which it is clear that all elements of $\frac{A^k}{k!} -X$ konvergira na nula.	matrix-exponential
A.336	Za svaki $n \in \mathbb{N}$, navedi matrice $A, B \in \mathbb{R}^{n \times n}$ za koje je $A B \neq B A$ istinito.	Imam sljedeći zadatak: (1) Za svaki $n \in \mathbb{N}$, navedi matrice $A, B \in \mathbb{R}^{n \times n}$ za koje je $A B \neq B A$ istinito. (2) Odredi $$ M:=\left\{A \in \mathbb{R}^{2 \times 2}: A B=B A \quad \forall B \in \mathbb{R}^{2 \times 2}\right\} $$ tako da matrice $A \in \mathbb{R}^{2 \times 2}$, koji putuju s svim matricama $B \in \mathbb{R}^{2 \times 2}$. Može li mi netko pomoći s ovim ili mi dati pristup? To bi bilo vrlo korisno. Hvala.	linear-algebra,matrices
A.337	Pretpostavimo da sve tangentne linije redovne ravnine prolaze kroz određenu fiksnu tačku.	Pretpostavimo da sve tangentne linije redovne ravnine prolaze kroz određenu fiksnu tačku. Ispostavimo da je krivulja dio ravne linije. Ispostavimo isti rezultat ako su sve normalne linije paralelne. Radim na diferencialnoj geometriji iz knjige Pressleya i sumnjam u rješenje gore navedenega pitanja čije je (kratko) rješenje: Rješenje: Možemo pretpostaviti da je krivulja $\gamma$ jedinična brzina i da sve tangentne linije prolaze kroz izvor (primijenjem prevod na $\gamma$).	differential-geometry,curves,tangent-line
A.338	Pronađite sve čestice rješenja jednačine $y = \frac{a+bx}{b-x}$	Kako pronaći sve čestice rješenja za jednadžbu $y = \frac{a+bx}{b-x}$, gdje su a i b poznate čestice vrijednosti?	elementary-number-theory,diophantine-equations
A.339	Objašnjenje Euklidove lemme	To je $a $nekako očito činjenica koja mi je intuitivno očita, ali nisam uspio napraviti dokaz za to. Euclidova lemma kaže za $p$ prvo i $ab$ proizvod celina (preuzmite sve da bude pozitivno za jednostavnost), ako $p \mid ab$, onda $p \mid a$ ili $p \mid b$. Ovo je jasno, i znam kako ga dokazati. Neka ga malo proširimo. Pretpostavimo da su $a$ i $b$ dva relativno prvo cjelina, a imamo $a \mid bc$ za neki drugi cjelin broj $a $0. Onda $a $1, tako da je to mora podijeliti $a $0. To je očito za mene, ali ne mogu shvatiti kako to dokazati. Ima li bilo kakvih sugestija ili savjeta? Trebam li pretpostavku pozitivnog stanja? (Za moje svrhe u ovom trenutku, moram samo biti relativno, ali je u općenitoj vrijednosti ED15.	elementary-number-theory
A.340	Imam sljedeći problem: pokaži da je $(x_n)$ Cauchyjev niz.	Imamo da je $(x_n)$ niz stvarnih brojeva. I odnos na naslovu: $$ |x_{n+1} - x_n| < \frac{1}{3^n}. $$ Moramo dokazati da je to Cauchy niz. Znam da Cauchy niz slijedi definiciju: uzimajući $\epsilon>0$, postoji $n_0 > 0$, tako da $m,n > n_o \Rightarrow |x_m - x_n|< \epsilon$ Ali ne znam kako koristiti obje informacije da dokaže vježbu. Ako mi netko može pomoći, bio bih vrlo zahvalan.	real-analysis,sequences-and-series
A.341	Da li sve aritmetske sekvence sa koefficientima koprima sadrže prvo?	S obzirom na $a, b \in Z^+$, gdje je $\gcd(a, b) = 1$, možemo definirati aritmetiku $c_i = a + i \cdot b$. Sekuencja je tako $\{a, a+b, a+2b, \cdots\}$. Da li sve takve sekvence sadrže prvo? Da li sadrže beskonačan broj prvočunja? Primjer: $a=2, b=3$.	elementary-number-theory,arithmetic-progressions,coprime
A.342	Četiri učenika daju prezentacije	U četiri dijela kursa, koji se provode (nezavisno) paralelno, četiri studenta daju prezentacije koje su svaki eksponencijalni u dužini, s očekivanom vrijednošću od $10 $ minuta svaki. Koliko vremena očekujemo da će biti potrebno dok se sve četiri prezentacije završe? Malo sam odbačen ovim pitanjem jer je u poglavlju statistike reda u mojoj knjizi. Ali vjerujem da je to samo gamma raspodjela. Ako je svaki učenik očekivala vrijednost $10$ minuta svaki.	solution-verification,exponential-distribution,order-statistics,gamma-distribution
A.343	Kada su dvije kockice identične, zašto se u određivanju vjerovatnoće dobivanja sume x uzimaju u obzir poruke u redovnom redu?	Problem: +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++	probability
A.344	Svaka zbirka podsjedina skupa je podpodlaga za topologiju	Teorema Svaka zbirka podrazumijeva $\mathcal{A}$ neprijegnog skupa $X$ čini podizvod za jedinstvenu topologiju $\tau$ na $X$. Ovo je teorema apsolutno nevjerojatno za mene. Stvarno mi se sviđa ideja o tome kao snažan alat, ali sam došao s kontraprimerkom koji jednostavno ne mogu dobiti preko. Dakle, teorema kaže da svaka zbirka podizvodova neprijeg $X$ čini podizvod za jedinstvenu topologiju na $X$. Naglasak postoji. Dakle, razmotrite sljedeći kontraprimer: Neka $X= \{a,b,c,d,e\}$ i neka $\mathcal{A}=\{\{a\}\}$. Očito, ovo je zbirka podizvodova $X$. Pretpostavimo da je, po našem teoremu, onda $\mathcal{A}=\{\{a\}\}$ podizvod za neku topologiju na $X$. OK, pa pošto je $\mathcal{A}$ podizvod nekih topologija na $X$, pokušajmo uzeti križanje članova $\mathcal{A}$. Dobro, onda, ako je to naša osnova za $\mathcal{A}$2. Kako to da se to radi, to je naš logski problem, ali je $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$12, $\mathcal{A}$	general-topology
A.345	Osnovno pitanje u geometriji: Kako izračunati udaljenost između dvije skretne linije?	Ja sam pomogao nekome s srednjoškolskim matematičkim ali sam stapljen u osnovnom geometrijskom problemu. dobio sam jednadžbu dvije ravne linije u prostoru $r\equiv \begin{cases} x=1 \\ y=1 \\z=\lambda -2 \end{cases}$ i $s\equiv\begin{cases} x=\mu \\ y=\mu -1 \\ z=-1\end{cases}$ i tražio neke izračune. Prvo me pitaju relativno mjesto njih tako da sam dobio su skew linije. Nakon toga me pitaju za udaljenost između dvije linije. Kako bi dobili udaljenost moram izračunati liniju koja je u pravcu "skrenut" točku, provjeriti točke gdje se dotakne druge dvije linije (izvini, nisam siguran o riječi u engleskom) i izračunati modul ovog vektora. Ja imam izračunati pravcu linije. Znam da mogu dobiti direktni vektor vektor vektoralni proizvod, ali nisam siguran kako pronaći točku tako da mogu izgraditi liniju.	geometry
A.346	Najveća donja granica u Q	Imam skup $$ \{ r \in \mathbb Q \mid r^2 >2, r>0 \}$$. Pitam se zašto nema najveću donju granicu.	supremum-and-infimum
A.347	GCD (a,b) =1 dokazuje GCD (a+b), (a-b) = 1 ili 2	Ako je GCD od $(a, b) = 1$, dokazi da je GCD $(a+b, a-b) = 1$ ili $2 .$ dokaz ide kao: Neka GCD $( a+b, a-b ) = d$ i neka postoje čitavci m i n tako da $ a+b =md$ i $ a-b = nd.$ dodajući i oduzimajući ove dvije jednadžbe dobivamo: $2a = (m+n)d$ i $2b = (m-n)d$ , jer $a, b$ su koprime onda $(a, b) = 1$0 GCD $(a, b) = 1$1 = GCD $(a, b) = 1$2 i tako dalje. Moje pitanje je, zašto moramo dodavati i oduzimaju iznad jednadžbe? Moram razumjeti koncept ovog dokazati u nekim detaljnije. Hvala!	divisibility,gcd-and-lcm
A.348	Pitanje o determinantnoj matrici blokova	U jednom trenutku, kad sam proučavao blok matrice, na pamet mi je došao ovaj pitanje.	matrices,determinant,block-matrices
A.349	Naprotiv Stirlingov pristupak	Uravnjenje za Stirlingovu približavanje je sljedeće: $$x! = \sqrt{2\pi x} * (\frac{x}{e})^x$$ Pišite kao funkciju za y daje nam sljedeće: $$y = \sqrt{2\pi x} * (\frac{x}{e})^x$$ Postoji li način da se riješi ova jednačina za x, učinkovito pronađu obrnuto za ovu funkciju?	factorial,inverse-function
A.350	Prikaz indukcije prirodnih brojeva u operaciji dijele	Želim dokazati da 2 i 3 dijele $x^3 - x, x \in \mathbb{N}$ i ja sam zaglavio na induktivnom koraku, ovdje sam: Za sve $x \in \mathbb{N}$, neka $P(x)$ bude prijedlog: 2 i 3 dijele $x^3 - x$ Osnovni korak: prvi izraz u $\mathbb{N}$ je $0$, onda: $\frac{0^3 - 0}{2} = 0$ i $\frac{0^3 - 0}{3} = 0$, tako da je $P(0)$ istina. Induktivni korak: Za induktivnu hipotezu, pretpostavljamo da je $x^3 - x, x \in \mathbb{N}$0 istina za proizvoljno ne-negativno cjelovito k veće od 0. To jest, pretpostavljamo da je 2 i 3 dijele $x^3 - x, x \in \mathbb{N}$1 Kako bi izvršili induktivni korak koristeći ovu pretpostavku, moramo pokazati da kada pretpostavimo da je $x^3 - x, x \in \mathbb{N}$0 istina, onda je $x^3 - x, x \in \mathbb{N}$2 također istina. To je, moramo pokazati da je 2 i 3 dijele $x^3 - x, x \in \mathbb{N}$3 Je li sljedeći korak ovdje da moramo dokazati da su $x^3 - x, x \in \mathbb{N}$4 i $x^3 - x, x \in \mathbb{N}$5 cjelovite brojeve?	induction,divisibility,natural-numbers
A.351	Upotreba Fatou Lemme ali nešto jednostavnije je bolje?	$(X,\mathcal{A},\mu)$ neka bude prostor mjerenja. $A_n$ neka bude niz skupova u $\mathcal{A}$. Definirajte $A := \{ x \in X $ tako da za sve, ali i za krajnje mnoge $n \in \mathbb{N}$ drži da $x ∈ A_n$ $ \}$ Pokaži da $\lim_{n\to\infty}\inf \mu (A_n) \geq \mu(A)$ Moj pokušaj $ \mu (A_n) = \int_X \chi_{A_n} d\mu$ i tako Fatou lemma: $(X,\mathcal{A},\mu)$0 Sada sve što moram pokazati je da $(X,\mathcal{A},\mu)$1 a.e. Razmislite $(X,\mathcal{A},\mu)$2 zatim na kraju $(X,\mathcal{A},\mu)$3 na kraju i tako $(X,\mathcal{A},\mu)$4 i tako $(X,\mathcal{A},\mu)$5 Sada razmislite $(X,\mathcal{A},\mu)$6 zatim $(X,\mathcal{A},\mu)$7 tako da $(X,\mathcal{A},\mu)$8 i tako $(X,\mathcal{A},\mu)$9 i tako $A_n$0 Ando tako da je potrebno slijedi.	measure-theory
A.352	Naći pozitivnu kontinuirnu funkciju s krajnjom površinom: $\int_0^\infty f(x) dx$, ali $f(x)\rightarrow$ ne postoji.	pronađite pozitivnu kontinuirnu funkciju s krajnom površinom: $\int_0^\infty f(x) dx$, ali granica $f(x)$ kao $x$ ide do beskonačnosti ne postoji. Pokušao sam pronaći takvu funkciju , ali nisam uspio .	real-analysis,calculus,limits
A.353	Može li netko objasniti zašto ako dvije slučajne promjenljive, X i Y, nisu korelirane, to ne znači nužno da su neovisne?	Razumijem da su dvije neovisne slučajnostne promjenljive po definiciji nespojene jer je njihova kovarijancija ekvivalentna 0: $Cov(x,y) = E(xy)- E(x)E(y)$ $E(x)*E(y) = E(xy)$, kada su x i y dvije slučajnostne nezavisne promjenljive. Stoga, $Cov(x,y) = 0$. Međutim, imam problema s razumijevanjem ako su dvije slučajnostne promjenljive, X i Y, nespojene, to ne znači nužno da su nezavisne. Može li mi netko dati i primjer u stvarnom svijetu kada su dvije slučajnostne promjenljive ni nezavisne ni slučajno povezane? Vjerujem da će mi to pomoći bolje razumjeti ovaj koncept.	probability,probability-theory,independence,covariance,causality
A.354	Dokažite da ako je $p_1\mid a$ i $p_2\mid a$ onda $p_1p_2\mid a$	Dakle, ja sam trebao dokazati da ako su $p_1$ i $p_2$ različite prvočlanke i $p_1\mid a$ i $p_2\mid a$ onda $p_1p_2\mid a$, i moram koristiti Euclidovu lemmu osim koliko ja razumijem Euclidova lemma je obrnuto od ove izjave i ja sam pokušao posljednjih nekoliko sati raditi s Euclidovim i GCD-ima da shvatim ovaj jedan i ja jednostavno ne znam gdje početi jer ne mogu okružiti glavu oko ovog.	elementary-number-theory
A.355	U skladu s člankom 1.	Naći sve funkcije $f:\mathbb{R}\rightarrow\mathbb{R}$ tako da $$f(f(x)^2+f(y))=xf(x)+y$$ za sve $x,y\in{\mathbb{R}}$. Evo mog pristupa problemu: Vidimo da je $f(x)=x$ očito rješenje (Samo pokušavanje jednostavnih linearnih jednadžbi). Mislim da bi ovo bilo jedino rješenje za problem.	linear-algebra,proof-writing,contest-math,functional-equations
A.356	Kako mogu ocjenjivati $ \sum_{n=0}^{\infty}{\frac{x^{kn}}{(kn)!}} $ gdje je $k$ prirodni broj?	Odjednom sam se zainteresirao za diferencijalno jednadžbo $$ f^{(k)}(x)=f(x) $$ Pa sam pokušao izračunati za neke $n$. Kada $ k=1 $, znamo rješenje $$ f(x)=A_0e^x=\sum_{n=0}^{\infty}{\frac{A_0x^n}{n!}} $$ Također, za $ k=2 $, $$ f(x)=Ae^x-Be^{-x}=\sum_{n=0}^{\infty}{(\frac{A_0x^{2n}}{(2n)!}+\frac{A_1x^{2n+1}}{(2n+1)!})} $$ gdje $ A_0=A+B $ i $ A_1=A-B $. Induktivno, mogao bih pretpostaviti da bi rješenje diferencijalnog jednadžbe bilo u obliku $$ f(x)=\sum_{n=0}^{\infty}{\sum_{i=0}^{k-1}{\frac{A_ix^{kn+i}}{(kn+i)!}}} $$ Ali nisam mogao ni dokazati da je to jedino rješenje niti dobiti eksplicitnu formule. Kako bih trebao procjenjivati $$ f^{(k)}(x)=f(x) $$0, jer ako znamo odgovor za to, možemo procjenjivati izvorni izraz razlikovanjem. Zahvaljujući WolframAlpha, znam odgovor za $$ f^{(k)}(x)=f(x) $$1, $$ f^{(k)}(x)=f(x) $$2 mislim da odgovor može biti povezan s $$ f^{(k)}(x)=f(x) $$3 i $$ f^{(k)}(x)=f(x) $$4 od $$ f^{(k)}(x)=f(x) $$5.	sequences-and-series,ordinary-differential-equations,power-series,functional-equations
A.357	Koliko funkcija može se koristiti za opisivanje krajnjeg niza?	Danas sam učio više o serijama i želio bih znati jesu li postoje dokazi koje bih mogao pogledati o ovom problemu. U osnovi, ako vam se daje beskonačna niz koja predstavlja funkciju f: $\Bbb N \Rightarrow \Bbb R$ ali prikazuje samo prve n brojeve, koliko funkcija f, napisana u smislu n, možete napisati da predstavljaju tu niz. Ne uključujem dijelove funkcije, jer pretpostavljam da bi to uvijek bilo beskonačno.	sequences-and-series,number-theory
A.358	Zaburjenost u vezi s formom površine površine revolucije	Prije nego što sam pročitao formulu površine revolucije koja je $\int 2\pi y \,ds$, gdje je $ds = \sqrt{1 + \frac{dy}{dx}^2}$, mislio sam da ga sam izvodi. Pokušao sam primijeniti istu logiku koja se koristi za izračun volumena revolucije (npr. $\int \pi y^2 dx $). Moja ideja je koristiti mnoge male šuplje cilindre (inspirirane metodom ljuske), svaki ima površinu $(2\pi y) (dx)$: $2\pi y$ je okrug cilindra, a $dx$ je visina cilindra Njihov proizvod je površina šupljeg (npr. prazan iznutra) cilindra.	calculus,area
A.359	Očigledne neslaganja u integraciji	U jednom problemu, napravljena je zamjena $$\tan\theta=\frac{x}{2}$$. Na kraju je odgovor bio u smislu sinusa, a da se pretvori natrag, $sin\theta$ je definiran kao $$\sin\theta=\frac{x}{\sqrt{4+x^2}}$$ Ovo je tipičan primjer nekih stvari o integraciji koje se trudim shvatiti; (1) Zašto apsolutne vrijednosti kvadratnih korijena nikada nisu uzeti? Ovo je nešto što stalno vidim u svakoj situaciji koja uključuje integral. (Tu, ako je $\theta$ u trećem kvadrantu, sinusi bi bili negativni i tansi bi bili pozitivni. Dakle, ovo definitivno ne radi za treći kvadrant.) (2) Širenje na stvari u parantezi gore, moguće objašnjenje je da dok pokreće, ugl uvijek radi glavni ugao obrnute trigonometrijske operacije na bilo kojem zamijeni.	integration,trigonometry,roots,substitution,trigonometric-integrals
A.360	Fourierova transformacija funkcije $1/ \vert x \vert$	To nije domaći zadatak. također bih cijenit pomoć za izračunati ga sam.	fourier-transform
A.361	Je li Riemannova integrabilna funkcija uvijek diferencijalna?	Da je $f:[a,b]\to\mathbb{R}$ Riemannovo integriran i $F(x)=\int_a^xf(t)dt$. Je li ta funkcija $F$ uvijek diferencijalna?	real-analysis
A.362	Kuratowskijev teorema koristeći aksiomu izbora	Kuratowskiova lemma: Svaki djelomični red ima maksimalni lanc. Axiom izbora: Za svaki skup X odvojenih neprijanih skupova postoji skup$Y $takvog da je za svaki skup $Z \in X, Y \cap Z$ singleton. Moj pokušaj: Razmislite o bilo kojem lancu $C_0$ od djelomičnog reda. Ako je $\exists x \in X \setminus C_0$ upoređen s nekim elementima $C_0$, neka $C_1 := C_0 \cup \{ x \}$. Iterirajte ovaj proces. Ako u nekom trenutku ne možemo pronaći takav x, onda smo pronašli maksimalni lanc. Pretpostavimo da možemo pronaći takav $x$ beskonačno, onda su skupovi $i\geq 1 \Rightarrow X_i := C_{i+1} \setminus C_i$ disjoint singletoni. Stoga je po aksiomu $Y$9.	order-theory,axiom-of-choice
A.363	Ne-negativni martingale $X_n \rightarrow 0$ a.s. dokazuju da $P[X^* \geq x | \mathcal{F}_0]= 1 \wedge X_0 / x$	Moram dokazati sljedeću tvrdnju. neka je $X$ ne-negativni martingale tako da $X_n\rightarrow 0$ a.s. kad $n\rightarrow \infty$. Definirati $X^*=supX_n$. dokazati da za sve $x>0$ $$P[X^*  \geq x | \mathcal{F}_0]= 1 \wedge X_0 / x$$ mislim da imam lakši slučaj ako $x\leq X_0$ Onda nužno $x\leq X^*$ za sup svojstvo.	probability,martingales,stopping-times
A.364	Nejednakost u metričkom prostoru	Za točku $x$ i ne-prazan podsjedak $A$ metricnog prostora $(X, d)$, definirajte $\begin{align}\inf\left\{ d(x,a):a\in A\right\}\end{align}$ Ispostavite da ako je $y$ druga tačka u $X$ onda je $$d(x,A)\leqslant d(x,y)+d(y,A)$$	general-topology,analysis,metric-spaces
A.365	Da li su beskonačni ordinali i njihov nasljednik jednoprimeni?	U teoriji skupova redovnici su dobro uređeni $\in$ ili ekvivalentno $\subset$. Ako definiramo sve redovnice veće ili jednake $\omega$ kao beskonačne redovnice. Je li istina da je svaki beskonačni redovnik jednobar za svoje nasljednike. U osnovi moj je pitanje dokaz ili potpora sljedeće tvrdnje:	set-theory
A.366	Pokažite da ako normirani prostor $X $ ima linearno nezavisan podmještaj $n$ elemenata, tako i dvostruki prostor $X'$	Pokažite da ako je normirani prostor $X $ ima linearno nezavisan podskuplj elemenata $n$, tako i dvostruki prostor $X'$ Moj pokušaj: $\text{Given that  a  normed space  $X$ has  a linearly indepenedent  susbset of  $n-$  element}\tag1$ neka je podskuplj $S=\{ e_1,e_2,e_3,....,e_n\}$ Definirajte $e_i \in X$ po $f_j(e_i)= \delta_{ij} = \begin{cases} 1 & i=j \\0 , & i \neq j  \end{cases}$ gdje $X $0 i $X $1 Od $X $2 imamo $X $3 Nakon toga ne možemo nastaviti dalje	functional-analysis
