A.1	U skladu s člankom 4. stavkom 1. stavkom 1. točka 1.	Ja sam udoban kad me pitaju da izračunati raspon racionalne funkcije, ali kako učiniti obrnuto?	functions
A.330	Shilovova linearna algebra - poglavlje 1, Problem 9	Ako dodamo sve ostale stupnjeve u prvi stupnjev, dobivamo prvi množački faktor odgovora, a ostalo nam je sljedeći odreditelj: $$\begin{vmatrix} 1&a&a&\ldots&a\\ 1&x&a&\ldots&a\\ 1&a&x&\ldots&a\\ \cdot&\cdot&\cdot&\ldots&\cdot\\ 1&a&a&\ldots&x \end{vmatrix}$$ Kako možemo izračunati ovaj odreditelj kako bismo dobili odgovor?	linear-algebra,determinant
A.331	Korijeniranje $4^x+6^x=9^x$ ručno	Funkcija $f(x)=4^x+6^x-9^x$ je takva da $f(0)=1>0, f(1)=1>0, f(2)=-29$ i sljedeći $g(x)=(4/9)^x+(6/9)^x-1 \implies f'(x)<0$ za sve stvarne vrijednosti $x$. Dakle, $g(x)$ je monotonna jednačina $$4^x+6^x=9^x$$ ima točno jedno stvarno rješenje.	real-analysis
A.332	Svaki broj može se izraziti kao proizvod (najmanji primni faktor) *(najveći cijeli broj dijeli n manje od n) [EDITED]	Pokažite da: $$g(n) = \frac{n}{{L(n)}},\forall n \in {\Bbb N}{\text{ such that }}n \geqslant 2$$ Moj dokaz: Budući da je $n \geqslant 2$, $n$ ili sastavljen ili prazan. Ako je $n$ prvočlen. Ako je $n = p$ prvočlen, gdje je $p$ prvočlen), onda je $L:{\Bbb N} \to {\Bbb N}$0 To zato što je $L:{\Bbb N} \to {\Bbb N}$1 definiran kao najmanje prvočlen u n. Ako je $L:{\Bbb N} \to {\Bbb N}$2 složen, po temeljnom teoremu aritmetice: "Svaki pozitivan cjeloviti broj veći od 1 može se izraziti kao proizvod prvočlenova". Neka je $p$ najmanji prvočlen iz proizvoda $L:{\Bbb N} \to {\Bbb N}$3 To jest, odaberite $L:{\Bbb N} \to {\Bbb N}$4.	elementary-number-theory
A.333	Bivalentna normalna gustoća	$( X, Y)$ ima bivarijalnu normalnu gustoću središtu na izvoru s $E(X^2)$ = $E(Y^2) = 1$, i $E(XY) = p$ . U polarnim koordinatama $(X, Y)$ postaje $(R,\Phi)$ gdje $R^2 = X^2 + Y^2$. dokazati da $\Phi$ ima gustoću koju daje $$\frac{\sqrt{1-p^2}}{2\pi(1-2p\sin(\varphi)\cos(\varphi))}$$ I jednako je raspoređen IF $( X, Y)$0. (Do sada je sve jasno) ono što ne razumijem je kako zaključiti da $( X, Y)$1 i $( X, Y)$2.	probability,probability-theory,probability-distributions
A.334	logaritmski dokaz za $a^{log_a(b)}=b$	Pokušao sam dokazati za $a^{log_a(b)}=b$, ali osjećam da je pogrešno, tako da kako mogu dokazati ovo?	logarithms
A.335	Eksponencijalna matrica konvergira u matricu	Da $A$ bude kvadratna matrica. Da pokažemo: Eksponencijalna matrica konvergira do neke matrice $X$. $$ \lim_{N \rightarrow \infty} \sum_{k=0}^{N}\frac{A^k}{k!} =X  $$ U nekim dokazima koje sam vidio navodi se da je zato (za sub-multiplikativnu norm) $$ 0 \le  \sum_{k=0}^{\infty} \left\Vert  \frac{A^k }{k!} \right\Vert  \le  \sum_{k=0}^{N} \frac{\Vert A \Vert ^k }{k!} then the series $\sum_{k=0}^{N}\frac{A^k}{k!}$ has to be convergent. That however isn't clear to me. To me more intuitive way to show convergence would be to show that $$ \lim_{N \rightarrow \infty} \left\ \sum_{k=0}^{N} \frac{A^k}{k!} -X \right\Vert =0$$ and use some intuitive matrix norm for which it is clear that all elements of $\frac{A^k}{k!} -X$ konvergirate na nula.	matrix-exponential
A.336	Za svaki $n \in \mathbb{N}$, navedi matrice $A, B \in \mathbb{R}^{n \times n}$ za koje je $A B \neq B A$ istinito.	Imam sljedeći zadatak: (1) Za svaki $n \in \mathbb{N}$, navedi matrice $A, B \in \mathbb{R}^{n \times n}$ za koje je $A B \neq B A$ istinito. (2) Odredi $$ M:=\left\{A \in \mathbb{R}^{2 \times 2}: A B=B A \quad \forall B \in \mathbb{R}^{2 \times 2}\right\} $$ tako da matrice $A \in \mathbb{R}^{2 \times 2}$, koji putuju s svim matricama $B \in \mathbb{R}^{2 \times 2}$. Može li mi netko pomoći s ovim ili mi dati pristup? To bi bilo vrlo korisno. Hvala.	linear-algebra,matrices
A.337	Pretpostavimo da sve tangentne linije redovne ravnine prolaze kroz određenu fiksnu tačku.	Pretpostavimo da sve tangentne linije redovne ravnine prolaze kroz određenu fiksnu tačku. Ispostavimo da je krivulja dio ravne linije. Ispostavimo isti rezultat ako su sve normalne linije paralelne. Radim na diferencialnoj geometriji iz knjige Pressleya i sumnjam u rješenje gore navedenega pitanja čije je (kratko) rješenje: Rješenje: Možemo pretpostaviti da je krivulja $\gamma$ jedinična brzina i da su sve tangentne linije prolaze kroz izvor (primijenjem prevod na $\gamma$).	differential-geometry,curves,tangent-line
A.338	Pronađite sve čestice rješenja jednačine $y = \frac{a+bx}{b-x}$	Kako pronaći sve čestice rješenja za jednačinu $y = \frac{a+bx}{b-x}$, gdje su a i b poznate čestice vrijednosti?	elementary-number-theory,diophantine-equations
A.339	Objašnjenje Euklidove lemme	To je $a $nekako očito činjenica koja je intuitivno očita, ali nisam mogao napraviti dokaz za to. Euclidova lemma kaže za $p$ prvo i $ab$ proizvod celina (preuzmite sve da bude pozitivno za jednostavnost), ako $p \mid ab$, onda $p \mid a$ ili $p \mid b$. Ovo je jasno, i znam kako ga dokazati.	elementary-number-theory
A.340	Imam sljedeći problem: pokaži da je $(x_n)$ Cauchyjev niz.	Imamo da je $(x_n)$ niz stvarnih brojeva. I odnos na naslovu: $$ |x_{n+1} - x_n| < \frac{1}{3^n}. $$ Moramo dokazati da je to Cauchy niz. Znam da Cauchy niz slijedi definiciju: dato $\epsilon>0$, postoji $n_0 > 0$, tako da $m,n > n_o \Rightarrow |x_m - x_n|< \epsilon$ Ali ne znam kako koristiti obje informacije da dokaže vježbu. Ako mi netko molim, može pomoći, bio bih vrlo zahvalan.	real-analysis,sequences-and-series
A.341	Da li sve aritmetske sekvence sa koefficientima koprima sadrže prvo?	Kad se $a, b \in Z^+$ razmatra, gdje je $\gcd(a, b) = 1$, možemo definirati aritmetiku $c_i = a + i \cdot b$. Sekuencja je tako $\{a, a+b, a+2b, \cdots\}$. Da li sve takve sekvence sadrže prvo? Da li sadrže beskonačan broj prvo? Primjer: $a=2, b=3$.	elementary-number-theory,arithmetic-progressions,coprime
A.342	Četiri učenika daju prezentacije	U četiri dijela kursa, koji se provode (nezavisno) paralelno, četiri studenta daju prezentacije koje su svaki eksponencijalni u dužini, s očekivanom vrijednošću od $10 $minute svaki. Koliko vremena očekujemo da će biti potrebno dok sve četiri prezentacije budu završene? Malo sam odbačen ovim pitanjem jer je u poglavlju statistike reda u mojoj knjizi. Ali vjerujem da je to samo gamma raspodjela. Ako je svaki učenik imao očekivanu vrijednost $10$ minuta svaki. Onda ne bi trebao biti potreban vrijeme do završetka svih četiri prezentacije $40$ minuta? $(10 \cdot 4 = 40)$ Ili je sljedeće.	solution-verification,exponential-distribution,order-statistics,gamma-distribution
A.343	Kada su dvije kockice identične, zašto se u određivanju vjerovatnoće dobivanja sume x uzimaju u obzir poruke u redovnom redu?	Problem: +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++	probability
A.344	Svaka zbirka podsjedina skupa je podpodlaga za topologiju	Teorema Svaka zbirka podmjesaka $\mathcal{A}$ neprijegnog skupa $X$ čini podpodupreminu za jedinstvenu topologiju $\tau$ na $X$. Ovo je teorema apsolutno nevjerojatno za mene. Stvarno mi se sviđa ideja o tome kao snažnom alatu, ali sam došao s kontraprimerkom koji jednostavno ne mogu dobiti preko. Dakle, teorema kaže da svaka zbirka podmjesaka $X$ neprijeg $X$ čini podpodupreminu za jedinstvenu topologiju na $X$. Naglasak postoji. Dakle, razmotrite sljedeći kontraprimer: Neka $X= \{a,b,c,d,e\}$ i neka $\mathcal{A}=\{\{a\}\}$. Očito, ovo je zbirka podmjesaka $X$. Pretpostavimo da je, po našem primjeru, onda $\mathcal{A}=\{\{a\}\}$ podpodupremina za neku topologiju na $X$. OK, tako da $\mathcal{A}$ je podpodupremina za neke članove topologije na temelju $X$, uzimanje $\mathcal{A}$ i $\mathcal{A}$9.	general-topology
A.345	Osnovno pitanje u geometriji: Kako izračunati udaljenost između dvije skretne linije?	Ja sam pomogao nekome s srednjoškolskim matematičkim ali sam stabliran u osnovnom geometrijskom problemu. dobio sam jednadžbu dvije ravne linije u prostoru $r\equiv \begin{cases} x=1 \\ y=1 \\z=\lambda -2 \end{cases}$ i $s\equiv\begin{cases} x=\mu \\ y=\mu -1 \\ z=-1\end{cases}$ i tražio neke izračune. Prvo me pita relativno mjesto njih tako da sam dobio su skew linije. Nakon toga me pitao za udaljenost između dvije linije. Kako bi dobili udaljenost moram izračunati liniju koja je u pravcu "skrenut" točku, provjeriti točke gdje se dotakne druge dvije linije (izvini, nisam siguran o riječi u engleskom) i izračunati modul ovog vektora. Imam problema izračunavanje pravcu linije. Znam da mogu dobiti vektorski proizvod, ali nisam siguran kako pronaći točku kako bih mogao izgraditi liniju.	geometry
A.346	Najveća donja granica u Q	Imam skup $$ \{ r \in \mathbb Q \mid r^2 >2, r>0 \}$$ pitao sam se zašto nema najveću donju granicu.	supremum-and-infimum
A.347	GCD (a,b) =1 dokazuje GCD (a+b), (a-b) = 1 ili 2	Ako GCD od $(a, b) = 1$, dokazati da GCD $(a+b, a-b) = 1$ ili $2 .$ dokaz ide kao: Neka GCD $( a+b, a-b ) = d$ i neka postoje cjelinici m i n tako da $ a+b =md$ i $ a-b = nd.$ Dodavanjem i oduzimanjem ovih dva jednačina dobivamo: $2a = (m+n)d$ i $2b = (m-n)d$ , jer $a, b$ su koprim onda $(a, b) = 1$0 GCD $(a, b) = 1$1 = GCD $(a, b) = 1$2 itd. Moje pitanje je, zašto moramo dodati i oduzimati iznad jednačina? Moram razumjeti koncept ovoga u nekim detaljnije. Hvala dokazati!	divisibility,gcd-and-lcm
A.348	Pitanje o determinantnoj matrici blokova	U jednom trenutku, kad sam proučavao blok matrice, na pamet mi je došao ovaj pitanje.	matrices,determinant,block-matrices
A.349	Naprotiv Stirlingov pristupak	Uravnjenje za Stirlingovu približavanje je sljedeće: $$x! = \sqrt{2\pi x} * (\frac{x}{e})^x$$ Pišite kao funkciju za y daje nam sljedeće: $$y = \sqrt{2\pi x} * (\frac{x}{e})^x$$ Postoji li način da se riješi ova jednačina za x, učinkovito pronađu obrnuto za ovu funkciju?	factorial,inverse-function
A.350	Prikaz indukcije prirodnih brojeva u operaciji dijele	Želim dokazati da 2 i 3 dijele $x^3 - x, x \in \mathbb{N}$ i da sam u induktivnom koraku, ovdje sam: Za sve $x \in \mathbb{N}$, neka $P(x)$ bude propozicija: 2 i 3 dijele $x^3 - x$ Osnovni korak: prvi izraz u $\mathbb{N}$ je $0$, onda: $\frac{0^3 - 0}{2} = 0$ et $\frac{0^3 - 0}{3} = 0$, tako da je $P(0)$ istina. Induktivni korak: Za induktivnu hipotezu, pretpostavljamo da je $x^3 - x, x \in \mathbb{N}$0 istina za proizvoljno ne-negativno cjelovito k veće od 0. To jest, pretpostavljamo da je 2 i 3 $x^3 - x, x \in \mathbb{N}$1 Da bismo izvadili induktivni korak koristeći ovu pretpostavku, moramo pokazati da kada pretpostavimo da je $x^3 - x, x \in \mathbb{N}$0 istina, onda je $x^3 - x, x \in \mathbb{N}$2 također istina. To je, moramo pokazati da je 2 i 3 dijele $x^3 - x, x \in \mathbb{N}$3 Je li korak ovdje da dokažemo da je potrebno podijeliti $x^3 - x, x \in \mathbb{N}$5 i $x^3 - x, x \in \mathbb{N}$5 i $x \in \mathbb{N}$ i Q13 tako da su čelici?	induction,divisibility,natural-numbers
A.351	Upotreba Fatou Lemme ali nešto jednostavnije je bolje?	Neka $(X,\mathcal{A},\mu)$ bude prostor mjerenja. Neka $A_n$ bude niz skupova u $\mathcal{A}$. Definiraj $A := \{ x \in X $ tako da za sve, ali i za krajnje mnoge $n \in \mathbb{N}$ drži da $x ∈ A_n$ $ \}$ Pokaži da $\lim_{n\to\infty}\inf \mu (A_n) \geq \mu(A)$ Moj pokušaj $ \mu (A_n) = \int_X \chi_{A_n} d\mu$ i tako Fatou lemma: $(X,\mathcal{A},\mu)$0 Sada sve što trebam pokazati je da $(X,\mathcal{A},\mu)$1 a.e. Razmislite o $(X,\mathcal{A},\mu)$2 zatim na kraju $(X,\mathcal{A},\mu)$3 na kraju i tako $(X,\mathcal{A},\mu)$4 i tako $(X,\mathcal{A},\mu)$5 Sada razmislite $(X,\mathcal{A},\mu)$6 zatim $(X,\mathcal{A},\mu)$7 tako da $(X,\mathcal{A},\mu)$8 i tako $(X,\mathcal{A},\mu)$9 i tako $A_n$0 Ando tako da je potrebno. Međutim, ovo se osjeća strašno komplicirano i pitam se da li netko ima neke savjete za nešto jednostavnije	measure-theory
A.352	Naći pozitivnu kontinuirnu funkciju s krajnjom površinom: $\int_0^\infty f(x) dx$, ali $f(x)\rightarrow$ ne postoji.	pronađite pozitivnu kontinuirnu funkciju s krajnom površinom: $\int_0^\infty f(x) dx$ , ali granica $f(x)$ kao što $x$ ide do beskonačnosti ne postoji. Pokušao sam pronaći takvu funkciju , ali nisam uspio .	real-analysis,calculus,limits
A.353	Može li netko objasniti zašto ako dvije slučajne promjenljive, X i Y, nisu korelirane, to ne znači nužno da su neovisne?	Razumijem da su dvije neovisne slučajnostne promjenljive po definiciji nespojene jer je njihova kovarijancija ekvivalentna 0: $Cov(x,y) = E(xy)- E(x)E(y)$ $E(x)*E(y) = E(xy)$, kada su x i y dvije slučajnostne nezavisne promjenljive. Stoga, $Cov(x,y) = 0$. Međutim, imam problema s razumijevanjem ako su dvije slučajnostne promjenljive, X i Y, nespojene, to ne znači nužno da su nezavisne. Može li mi netko dati i primjer u stvarnom svijetu kada su dvije slučajnostne promjenljive ni nezavisne ni slučajno povezane? Vjerujem da će mi to pomoći bolje razumjeti ovaj koncept.	probability,probability-theory,independence,covariance,causality
A.354	Dokažite da ako $p_1\mid a$ i $p_2\mid a$ onda $p_1p_2\mid a$	Dakle, ja sam trebao dokazati da ako su $p_1$ i $p_2$ različite prvočlanke i $p_1\mid a$ i $p_2\mid a$ onda $p_1p_2\mid a$, i moram koristiti Euclidovu lemmu osim koliko ja razumijem Euclidova lemma je obrnuto od ove izjave i ja sam pokušao posljednjih nekoliko sati raditi s Euclidovim i GCD-ima da shvatim ovo i ja jednostavno ne znam gdje početi jer ne mogu okružiti glavu oko ovog.	elementary-number-theory
A.355	KZ1	Nađite sve funkcije $f:\mathbb{R}\rightarrow\mathbb{R}$ tako da $$f(f(x)^2+f(y))=xf(x)+y$$ za sve $x,y\in{\mathbb{R}}$. Evo mog pristupa problemu: vidimo da je $f(x)=x$ očito rješenje (Samo pokušavam jednostavne linearne jednadžbe). Mislim da bi ovo bilo jedino rješenje za problem.	linear-algebra,proof-writing,contest-math,functional-equations
A.356	Kako mogu ocjenjivati $ \sum_{n=0}^{\infty}{\frac{x^{kn}}{(kn)!}} $ gdje je $k$ prirodni broj?	I, za $ k=2 $, $$ f(x)=Ae^x-Be^{-x}=\sum_{n=0}^{\infty}{(\frac{A_0x^{2n}}{(2n)!}+\frac{A_1x^{2n+1}}{(2n+1)!})} $$, gdje $ A_0=A+B $ i $ A_1=A-B $. Induktivno, mogao bih pretpostaviti da bi rješenje diferencijalnog jednačine bilo u obliku $$ f(x)=\sum_{n=0}^{\infty}{\sum_{i=0}^{k-1}{\frac{A_ix^{kn+i}}{(kn+i)!}}} $$ Ali nisam mogao ni dokazati da je to jedino rješenje niti dobiti eksplicitnu formuli. Kako bih trebao procjenjivati $$ f^{(k)}(x)=f(x) $$0, jer ako znamo odgovor za to, možemo procjenjivati izvorni izraz razlikovanjem. Zahvaljujući WolframAlpha, znam odgovor za $$ f^{(k)}(x)=f(x) $$1, $$ f^{(k)}(x)=f(x) $$2 Mislim da odgovor može biti povezan s $$ f^{(k)}(x)=f(x) $$3 i $$ f^{(k)}(x)=f(x) $$4 od $$ f^{(k)}(x)=f(x) $$5.	sequences-and-series,ordinary-differential-equations,power-series,functional-equations
A.357	Koliko funkcija može se koristiti za opisivanje krajnjeg niza?	Danas sam učio više o serijama i želio bih znati jesu li postoje dokazi koje bih mogao pogledati o ovom problemu. U osnovi, ako vam se daje beskonačna serija koja predstavlja funkciju f: $\Bbb N \Rightarrow \Bbb R$ ali prikazuje samo prve n brojeve, koliko funkcija f, napisana u smislu n, možete napisati da predstavlja tu seriju. Ne uključujem dijelove funkcije, jer pretpostavljam da će to uvijek biti beskonačno. Uzmi seriju $(2, 4, ...)$ s 2 date brojeve. $f(n)=2n$, $f(n)=n^2-n+2$ i $f(n)=2^n$ bi sve bile funkcije koje bi mogle biti u skladu s ovom serijom, iako se razlikuju nakon prva dva broja. Vjerujem da postoje više polinomima koji odgovaraju ovom opisu, ali nisam siguran koliko. Moje pitanje je, u osnovi, postoji beskonačan broj funkcija za koje $f(1) = 2$ i $f(2) = 4$, a ako je to slučaj, to se može primjenjivati i na krajnji broj funkcija (pg. $(3, 1, 4, 1, 5, 9...)$) ako ne možete pronaći koliko brojki funkcija je napisano kao prvo?	sequences-and-series,number-theory
A.358	Zaburjenost u vezi s formom površine površine revolucije	Prije nego što sam pročitao formule površine revolucije koja je $\int 2\pi y \,ds$, gdje je $ds = \sqrt{1 + \frac{dy}{dx}^2}$, pomislio sam da je izvedem sam. Pokušao sam primijeniti istu logiku koja se koristi za izračun volumena revolucije (npr. $\int \pi y^2 dx $). Moja ideja je koristiti mnoge male šuplje cilindre (inspirirane metodom ljuske), svaki ima površinu $(2\pi y) (dx)$: $2\pi y$ je okrug cilindra, a $dx$ je visina cilindra. Njihov proizvod je površina šupljeg (npr. prazan iznutra) cilindra.	calculus,area
A.359	Očigledne neslaganja u integraciji	U jednom problemu, zamijena $$\tan\theta=\frac{x}{2}$$ je napravljena. Na kraju, odgovor je bio u smislu sinusa, a da se pretvori natrag, $sin\theta$ je definiran kao $$\sin\theta=\frac{x}{\sqrt{4+x^2}}$$ Ovo je tipičan primjer nekih stvari o integraciji koje se trudim shvatiti; (1) Zašto apsolutne vrijednosti kvadratnih korijena nikada nisu uzeti? Ovo je nešto što stalno vidim u svakoj situaciji koja uključuje integral. (Tu, ako je $\theta$ u trećem kvadrantu, sinusi bi bili negativni, a tansi bi bili pozitivni. Dakle, to definitivno ne radi za treći kvadrant.) (2) Širenje na stvari u parantezi gore, moguće objašnjenje je da dok radite pokretanje, ugl je uvijek glavni ugao obrne trigonometrijske operacije na kojoj radite zamijenu.	integration,trigonometry,roots,substitution,trigonometric-integrals
A.360	Fourierova transformacija funkcije $1/ \vert x \vert$	To nije domaći zadatak. također bih cijenit pomoć za izračunati ga sam.	fourier-transform
A.361	Je li Riemannova integrabilna funkcija uvijek diferencijalna?	Da je $f:[a,b]\to\mathbb{R}$ Riemann-integrabilan i $F(x)=\int_a^xf(t)dt$. Je li ta funkcija $F$ uvijek diferencijalna?	real-analysis
A.362	Kuratowskijev teorema koristeći aksiomu izbora	Kuratowskiova lemma: Svaki djelomični red ima maksimalni lanc. Axiom izbora: Za svaki skup X odvojenih neprijanih skupova postoji niz$Y $takvog da je za svaki skup $Z \in X, Y \cap Z$ singleton. Moj pokušaj: Razmislite o bilo kojem lancu $C_0$ djelomičnog reda. Ako je $\exists x \in X \setminus C_0$ upoređen s nekim elementima $C_0$, neka $C_1 := C_0 \cup \{ x \}$. ponovimo ovaj proces. Ako u nekom trenutku ne možemo pronaći takav x, onda smo pronašli maksimalni lanc. Pretpostavimo da možemo pronaći takav $x$ niz beskonačno, onda su $i\geq 1 \Rightarrow X_i := C_{i+1} \setminus C_i$ singletoni. Stoga se čini da je po klijentu klijente $Y$ za dokaz PZ9, ako ne postoji nešto upoređivano s $X_i \subseteq Y$.	order-theory,axiom-of-choice
A.363	Ne-negativni martingale $X_n \rightarrow 0$ a.s. dokazuju da je $P[X^* \geq x | \mathcal{F}_0]= 1 \wedge X_0 / x$	Moram dokazati sljedeću tvrdnju. neka $X$ bude ne-negativni martingale tako da $X_n\rightarrow 0$ a.s. kad $n\rightarrow \infty$. Definirati $X^*=supX_n$. dokazati da za sve $x>0$ $$P[X^*  \geq x | \mathcal{F}_0]= 1 \wedge X_0 / x$$ mislim da imam lakši slučaj ako $x\leq X_0$ Onda nužno $x\leq X^*$ za sup svojstvo. Onda slijedi da za $1\leq X_0 /x$ imamo taj $X$0. Ali ne mogu shvatiti drugi slučaj.	probability,martingales,stopping-times
A.364	Nejednakost u metričkom prostoru	Za točku $x$ i neisprazan podsjedak $A$ metrskog prostora $(X, d)$, definirajte $\begin{align}\inf\left\{ d(x,a):a\in A\right\}\end{align}$ Pokažite da ako je $y$ druga tačka u $X$, onda je $$d(x,A)\leqslant d(x,y)+d(y,A)$$	general-topology,analysis,metric-spaces
A.365	Da li su beskonačni ordinali i njihov nasljednik jednoprimeni?	U teoriji skupova redovnici su dobro uređeni $\in$ ili ekvivalentno $\subset$. Ako definiramo sve redovnice veće ili jednake $\omega$ kao beskonačne redovnice. Je li istina da je svaki beskonačni redovnik jednobar njegovima naslednicima.	set-theory
A.366	Pokažite da ako je normirani prostor $X $ ima linearno nezavisan podmještaj elemenata $n$, tako i dvostruki prostor $X'$	Pokažite da ako je normirani prostor $X $ ima linearno nezavisan podskuplj elemenata $n$, tako i dvostruki prostor $X'$ Moj pokušaj: $\text{Given that  a  normed space  $X$ has  a linearly indepenedent  susbset of  $n-$  element}\tag1$ neka podskuplj bude $S=\{ e_1,e_2,e_3,....,e_n\}$ Definirajte $e_i \in X$ po $f_j(e_i)= \delta_{ij} = \begin{cases} 1 & i=j \\0 , & i \neq j  \end{cases}$ gdje $X $0 i $X $1 od $X $2 imamo $X $3 Nakon toga ne možemo nastaviti dalje	functional-analysis
A.367	Ispostavite da je $d(x,M)=\frac{|\langle f,x \rangle|}{||f||}$	Želim pokazati da za $E$ je normirani prostor, $f\in E^*$ i $M=\{x\in E\,:\, f(x)=0\}$: Napisati $M^\perp$ Pokažite da $d(x,M)=\frac{|\langle f,x\rangle|}{||f||}$. Ovo je moj pokušaj: Za drugi dio: Imamo da $f\in E^*$ i za $x\in E$ i $m\in M$ $$\ |\langle f,x-m|\rangle \leq ||f|| ||x-m|| \Rightarrow \frac{|\langle f,x\rangle|}{||f||} \leq ||x-m||. $$ Stoga, $$ \frac{|\langle f,x\rangle|}{||f||} \leq \inf_{m\in M}||x-m|| =d(x,M). $$ Druga nejednakost je da ne mogu dokazati, mislim da bilo koji korolari Hanh-Banach mogao bi mi pomoći dokazati da $E$0 Ima li netko ideju i mogao provjeriti moj dokaz? ažuriranje sam pronašao isti pitanje u ovom link Orthogonality Relation vježbanje, Brezis knjiga funkcionalna analiza	functional-analysis,normed-spaces
A.368	Basel Problem približnje pogreške ograničene $\mathcal O(1/x)$?	U ovom odgovoru se navodi da je $$ \sum_{n\geq1}\frac{1}{n^2}=\sum_{n\leq x}\frac1{n^2}+\mathcal O(1/x). $$ tačno kao $x\to\infty$? Što sam učinio: Ako je $x$ fiksiran, onda mislim da je odgovor gotovo trivijalni, jer možemo postaviti $C=\pi^2x/6$, tako da $$ \sum_{n=x}^\infty\frac1{n^2}\leq\sum_{n=1}^\infty\frac1{n^2}=\frac{\pi^2}{6}=\frac{C}{x}, $$ tako da $$ \sum_{n\geq1}\frac1{n^2}=\sum_{n\leq x}\frac{1}{n^2}+\sum_{n=x}^\infty\frac{1}{n^2}\leq\sum_{n\leq x}\frac{1}{n^2}+C/x=\sum_{n\leq x}\frac{1}{n^2}+\mathcal O(1/x). $$.	approximation
A.369	Uloženi u redovito	Kako izračunati integralni $$J_n=\int_{-\pi}^\pi \frac{\sin{(nx)}}{(1+2^n) \sin{x}}\,\mathrm{d}x\:?$$ Pokušao sam djelomičnu integraciju, ali nisam uspio pronaći ponavljajuće veza? Također, pokušao Moivre formula za $I_n+iJ_n$, gdje $I_n=\int_{-\pi}^\pi \frac{\cos{(nx)}}{(1+2^n) \sin{x}} dx$, ali također bez uspjeha.	integration,definite-integrals,recurrence-relations
A.370	Što ako uzmemo korak funkcije umjesto jednostavnih funkcija u Lebesgue integral	Kada definiramo Lebesgue integral, prvo ga definiramo za jednostavne funkcije $s(x) = \sum\limits_{j=1}^n c_j\chi_{A_j}(x)$ (gdje su $A_j$ mjerljive) kao $\int sd\mu = \sum\limits_{i=j}^n c_j \mu(A_j)$ i onda za $f\ge 0$ kao $\int fd\mu = \sup\{\int sd\mu$ : s jednostavno i $0\le s\le f\}$. Ali pitao sam se što bi moglo ići krivo ako umjesto uzimanja jednostavnih funkcija u supremumu, uzimamo korak funkcije, tj. $s(x)=\sum\limits_{j=1}^nc_i\chi_{I_j}(x)$ gdje $I_j$ su intervali (bilo koji tip, kao što je $(a,b), (a,b], [a,b), [a,b])$).	measure-theory,lebesgue-integral,step-function,simple-functions
A.371	Mogu li reći $|f(x)g(x)|=||fg||$	Neka $f,g:[0,1]\to \Bbb{R}$ bude kontinuirana funkcija. Pokaži da $$||fg||\le||f||\space||g||$$ Što sam do sada dobio: $|f(x)| \le\max|f(x)|=$ norma $f$, $||f||$.$\forall x\in[0,1]$. (Napomena: zamijenio sam supremum s maksimalnim.) $|f(x)||g(x)| =|f(x)g(x)|\le \max |f(x)|g(x)=||f|| \space\space |g|\le \max|f(x)|\space \max|g(x)|=|f||\space\space||g||$ $|f(x)g(x)|\le||f||\space\space||g||$ Kao što moram pokazati da $||fg||\le||f||\space||g||$ : Mogu li reći $f,g:[0,1]\to \Bbb{R}$0? Nisam siguran o tome Jer $f,g:[0,1]\to \Bbb{R}$1 osjećam da nedostaje koncept da dokažem $f,g:[0,1]\to \Bbb{R}$0, kroz koji mislim da ću konačno dokazati $||fg||\le||f||\space||g||$ molim vas, ako biste mogli objasniti.	functional-analysis,analysis,norm
A.372	Kad smo se preselili iz $\mathbb{Z}\left[\sqrt{d}\right]$ na prsten čestica $\mathcal{O}_{\mathbb{Q}\left[\sqrt{d}\right]}$ i zašto?	Gauss je napravio veliki napredak u teoriji brojeva u $\mathbb{Z}$ radeći u $\mathbb{Z}[i]$ (ili ekvivalentno $\mathbb{Z}\left[\sqrt{-1}\right]$), toliko da $\mathbb{Z}[i]$ sada zovemo Gaussian čitavci. I čak je bilo poznato starim matematičarima da rješenja za Pellovu jednadžbu $x^2 - dy^2 = 1$ mogu biti bolje analizirane radeći u $\mathbb{Z}\left[\sqrt{d}\right]$. Ali sada u modernoj teoriji brojeva proučavamo mnogo više prsten čitavci $\mathcal{O}_{\mathbb{Q}\left[\sqrt{d}\right]}$.	abstract-algebra,ring-theory,soft-question,definition
